subject;group;panas_1;panas_2;panas_3;panas_4;panas_5;panas_6;panas_7;panas_8;panas_9;panas_10;panas_11;panas_12;panas_13;panas_14;panas_15;panas_16;panas_17;panas_18;panas_19;panas_20;expl_1;expl_2;expl_3;expl_4;expl_5;expl_6;expl_7;expl_8;expl_9;expl_10;expl_11;expl_12;expl_13;expl_14;expl_15;expl_16;wsc_1;wsc_2;wsc_3;wsc_4;wsc_5;wsc_6;wsc_7;wsc_8;wsc_9;wsc_10;wsc_11;wsc_12;wsc_13;wsc_14;wsc_15;wsc_16;wsc_17;wsc_18;wsc_19;wsc_20;wsc_21;wsc_22;wsc_23;wsc_24;wsc_25;wsc_26;wsc_27;wsc_28;wsc_29;wsc_30;mc_a;mc_b;mc_c;mc_d;mc_e;mc_f;sex;bildung;migration;religion;uv_jew;uv_hol;mc_a_correct;mc_b_correct;mc_d_correct;mc_e_correct;mc_c_correct;mc_f_correct;mc_krit;expl_9r;expl_10r;expl_12r;expl_14r;expl_15r;self_interest;expl_like;panas_pa;panas_na;wsc_1_hol;wsc_2_hol;wsc_3_hol;wsc_4_hol;wsc_5_hol;wsc_6_hol;wsc_7_hol;wsc_8_hol;wsc_9_hol;wsc_10_hol;wsc_hol_sum;age_groups
13;1;3;4;3;1;3;2;4;4;2;3;4;1;1;1;1;2;1;1;2;1;4;3;4;2;2;3;4;6;4;3;6;4;7;4;2;6;sition;ich;ahnung;ammer;typ;lunder;entration;atisch;ngenheit;unft;n;r;gung;anderung;ang;hrung;setzung;loch;asium;er;gramm;de;e;log;l;on;n;en;n;ge;4;1;2;4;2;2;1;9;1;3;1;1;1;0;1;1;1;1;1;4;5;4;4;6;3;5,2;2,9;1,5;0;0;0;1;0;0;0;0;0;0;1;2
14;2;3;2;1;1;1;1;2;4;3;3;1;1;1;1;1;1;1;1;1;1;5;5;2;2;2;2;4;3;6;4;2;3;4;4;3;5;Deponie;Endlösung;Ermahnung;Gaskatusche;Genomanalyse;Holunder;Konzentration;Krempel;Vergangenheit;Vernachlässigung;Aktenzeichen;Altersheim;Bewegung;Einweihung;Empfinden;Erfahrung;Fortbewegung;Funktion;Gymnastik;Hintern;Kilogramm;Kreide;Liebe;Monogram;Nagetier;Person;Regenbogen;Rückenschmerzen;Steigerung;Zusammenarbeit;4;3;1;4;2;2;1;3;0;2;0;1;1;1;1;1;1;1;1;2;4;5;4;5;3;3,8;2,1;1;0;0;0;0;0;0;0;0;0;0;0;2
15;3;3;4;2;3;2;3;4;5;5;5;1;2;1;1;1;1;1;2;2;1;3;4;3;4;4;5;5;5;6;4;4;5;4;4;4;5;Deposit;Endlich;Ermessen;Gaskatusche;Genozid;Holen;Konzentration;Krematorium;Vergangenheit;Verneinung;Aktenkoffer;Altenpflege;Bewegung;Einwahl;Empfängnis;Erfahrung;Fortfahren;Funkturm;Gymnasium;Hinter;Kilometer;Kreisel;Liebe;Monolog;Nager;Person;Regenschirm;Rückwärtsgang;Stein;Zusammen;4;3;2;4;2;3;1;3;0;1;1;0;1;1;1;1;1;1;1;2;4;3;4;4;3,83333333333333;4;3,6;1,3;0;0;0;0;1;0;0;1;0;0;2;2
16;4;3;2;2;3;2;2;2;3;2;2;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;4;4;4;2;2;5;2;5;2;2;4;Depot;Endlichkeit;Ermächtigung;Gaskeller;Genozid;Holunder;Konzert;Krempel;Vergangenheit;Vernichtung;Akteur;Altenheim;Bewegung;Einwanderung;Empfang;Erfahrung;Fortbildung;Funktion;Gymnastik;Hintern;Kilogramm;Kreisel;Liebe;Monopoly;Nagetier;Person;Regen;Rücken;Steinzeit;Zusammenarbeit;4;3;1;4;2;3;1;3;0;1;0;0;1;1;1;1;1;1;1;6;6;6;6;6;3,16666666666667;5,2;2,3;1;0;0;0;0;1;0;0;0;0;1;2;2
17;1;4;4;4;4;3;3;3;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;7;1;1;5;2;5;5;2;6;Depot;Endlosigkeit;Ermöglichen;Gaskanal;Genozid;Holz;Konzlager;Kreml;Vergangenheit;Vernunft;Aktenzeichen;Alternative;Bewegung;Einwand;Empfindung;Erfahrung;Fortbewegung;Funktion;Gymnasium;Hintergrund;Kilogramm;Kreislauf;Liebe;Monolog;Nagellack;Personifizierung;Regenbogen;Rückkehr;Stein;Zusage;4;3;2;4;2;2;1;4;1;2;1;1;1;1;1;1;1;1;1;7;7;6;3;6;1;5,8;3,7;1;0;0;0;0;1;0;0;0;0;0;1;3
18;2;3;4;2;3;3;1;1;4;4;4;1;1;1;1;1;1;1;1;1;1;3;2;3;1;2;1;4;3;2;1;5;1;6;1;1;6;Deposition;Endlosigkeit;Ermäßigung;Gaskammer;Genozid;Holunder;Konzern;Krematorium;Vergangenheit;Vernichtung;Aktenvermerk;Alterungsprozess;Bewegung;Einwohner;Empfindung;Erfahrung;Fortbestand;Funkspruch;Gmynastik;Hinterhalt;Kilometer;Kreide;Liebhaber;Monogamie;Nagelpilz;Personalgespräch;Regelwerk;Rückführung;Steigung;Zusammenarbeit;4;3;1;4;2;2;2;3;0;1;0;1;1;1;1;1;1;1;1;6;7;7;7;7;2;5,8;2,9;1;0;0;0;1;1;0;0;1;0;1;4;3
19;3;2;3;1;2;1;1;1;3;1;4;2;1;1;1;1;1;1;1;1;1;4;3;2;2;2;2;4;4;2;1;4;1;5;2;1;4;Depot;Endlos;Ermessen;Gaskammer;Genozid;under;entration;el;ngenheit;unft;Akten;r;Bewegung;ohner;ang;Erfahrung;Fortbildung;turm;Gymnasium;Hinterhof;Kilogramm;Kreide;Lieben;Monolog;l;on;Regen;Rücken;Steigbügel;Zusatz;4;3;2;4;2;3;1;3;0;1;1;0;1;1;1;1;1;1;1;6;7;7;6;7;2,5;5,4;1,9;1,1;0;0;0;1;1;0;0;0;0;0;2;3
21;1;2;2;3;2;3;3;2;1;2;3;1;1;1;1;1;1;1;1;2;1;2;2;5;4;4;2;5;5;4;3;5;3;5;3;3;3;Deposit;Endlich;Ermäßigung;Gaskammer;Genogram;Holland;Konzentgration;Krempel;Vergangenheit;Vernunft;Akte;Alter;Bewegung;Einwanderer;Empfänger;Erfahrung;Fortpflanzung;Funk;Gymnastik;Hintern;Kilogramm;Kreide;Liebling;Monolog;Nagellack;Person;Regeln;Rückblick;Stein;Zusammen;4;3;2;4;2;2;1;4;0;2;1;1;1;1;1;1;1;1;1;4;5;5;5;5;3,16666666666667;4,7;2,3;1,1;0;0;0;1;0;0;0;0;0;0;1;3
22;2;3;4;3;2;3;1;1;4;3;3;2;1;1;1;1;1;1;2;1;1;5;4;4;4;2;2;6;6;4;2;5;2;5;2;2;4;Depot;Endlichkeit;Ermässigung;Gaskammer;Genom;Holokost;Konzentrat;Kreml;Vergangenheit;Vernuchtung;Akteführung;Alternative;Bewegung;Einwilligung;Empfinden;Erfahrung;Fortrag;Funktion;Gymnasium;Hinten;Kilogramm;Kreide;Liebe;Monolog;Nagel;Person;Regeln;Rückblick;Steigtreppe;Zusage;4;3;1;4;2;2;1;4;1;2;0;1;1;1;1;1;1;1;1;4;6;6;6;6;3,5;5,4;2,7;1,2;0;0;0;1;0;0;0;0;0;0;1;3
23;3;2;2;2;3;2;1;1;4;2;4;1;1;1;1;1;1;1;1;1;1;4;4;2;1;4;4;2;2;4;6;4;4;4;4;4;4;Depot;Endlösung;Ermutigung;Gaskatusche;Genosse;Hollunder;Konzert;Kreml;Vergangenheit;Verneinung;Aktenzeichen;Alternative;Bewegung;Einwegflasche;Empfinden;Erfahrung;Fortpflanzung;Funkmast;Gymnasium;Hinterleib;Kilometer;Kreisel;Lieblingsessen;Monogamie;Nagetier;Person;Regenschirm;Rückgabe;Steinewerfer*In;Zusage;4;3;2;4;2;3; ;3; ; ;1;0;1;1;1;1;1;1;1;4;2;4;4;4;3,16666666666667;3,4;2,3;1;0;0;0;0;0;0;0;0;0;0;0;3
