"effect_size_id","cat","outcome","exposure","k","pooled_r","cilb95","ciub95","n_pooled","i2","Value","Statistical.Test"
"47448_001","health behaviour","Sleep: Duration","Screen use: General",7,-0.095,-0.175,-0.016,6184,87.1,-0.09,"Correlation coefficient"
"47448_004","health behaviour","Sleep: Duration","Screen use: General",4,-0.109,-0.263,0.045,3803,93.1,-0.1,"Correlation coefficient"
"61463_001","health behaviour","Sleep: Duration","Screen use: General (excessive)",8,-0.121,-0.173,-0.069,7634,79.4,-0.25,"Standardized mean difference"
"61463_002","health behaviour","Sleep: Duration","Screen use: General (excessive)",3,-0.148,-0.193,-0.102,1797,0,-0.3,"Standardized mean difference"
"61463_003","health behaviour","Sleep: Duration","Screen use: General (excessive)",5,-0.106,-0.184,-0.028,5837,87.6,-0.22,"Standardized mean difference"
"61423_002","health behaviour","Sleep: Duration","Screen use: General (internet addiction)",6,-0.183,-0.256,-0.11,7855,91.1,-999,"-999"
"6524_002","health behaviour","Sleep: Duration","Screen use: General (mobile phone)",7,-0.117,-0.179,-0.055,18902,94.2,-0.104,"r"
"6524_005","health behaviour","Sleep: Duration","TV programs and movies: General",10,-0.056,-0.102,-0.01,9798,78,-0.059,"r"
"6524_004","health behaviour","Sleep: Duration","Video games: General",8,-0.054,-0.098,-0.01,3321,28.7,-0.059,"r"
"55945_001","health behaviour","Sleep: Duration","Video games: General (problematic use)",8,-0.157,-0.208,-0.105,11429,75.7,-999,"-999"
"59227_007","health behaviour","Sleep: General","Screen use: General (mobile or tablet)",4,-0.149,-0.218,-0.08,4181,68.8,-0.15,"correlation"
"6524_009","health behaviour","Sleep: Time to fall asleep","Computer use: General",1,0.04,0.006,0.074,3282,0,0.04,"r"
"6524_012","health behaviour","Sleep: Time to fall asleep","Internet use: General",3,0.092,-0.011,0.195,1729,72.6,0.08,"r"
"61463_004","health behaviour","Sleep: Time to fall asleep","Screen use: General (excessive)",3,0.084,0,0.168,1836,70.1,0.16,"Standardized mean difference"
"6524_008","health behaviour","Sleep: Time to fall asleep","Screen use: General (mobile phone)",2,0.039,0.006,0.073,3432,0,0.039,"r"
"6524_006","health behaviour","Sleep: Time to fall asleep","TV programs and movies: General",6,0.027,-0.017,0.07,5633,43,0.01,"r"
"6524_007","health behaviour","Sleep: Time to fall asleep","Video games: General",8,0.032,0.006,0.057,5945,0.1,0.031,"r"
"16550_001","physical health","Body composition","Computer use: General",5,0.084,-0.101,0.268,7888,98.3,0.002,"beta"
"48113_018","physical health","Body composition","Intervention: Lifestyle risk behaviour (at school)",5,0,-0.033,0.033,3480,0,-0.13,"Standard mean difference"
"47484_001","physical health","Body composition","Intervention: To promote health (via mobile phone)",9,-0.019,-0.072,0.034,1358,0,-0.037,"Standarised mean difference"
"7702_005","physical health","Body composition","Intervention: To promote healthy weight (obesity prevention)",4,0.072,-0.123,0.266,1102,87,0.05,"std mean difference"
"14231_001","physical health","Body composition","Screen use: General",8,0,-0.032,0.032,3692,0,-0.27,"mean difference"
"16550_003","physical health","Body composition","TV programs and movies: General",9,0.11,0.025,0.195,25716,97.9,0.01,"beta"
"8556_119","physical health","Body composition","TV programs and movies: General",12,0.062,0.028,0.097,3196,0,0.057,"r = uncorrected sample-weighted mean effect size"
"8556_138","physical health","Body composition","TV programs and movies: General",4,0.149,0.043,0.256,2047,77.3,0.146,"r = uncorrected sample-weighted mean effect size"
