"effect_size_id","k","r","cilb","ciub","p","i2","n","sig999"
"55569_004",9,0.0996837137257183,0.0257568392215373,0.173610588229899,0.00822152294792845,82.8322344813345,5773,FALSE
"55569_005",8,0.108599034940995,-0.0142271902324332,0.231425260114422,0.0831067409911053,92.4834410415498,3715,FALSE
"55569_006",8,0.0393016444280415,-0.0738036886570851,0.152406977513168,0.49584309497787,93.1466456584792,5181,FALSE
"55945_001",8,-0.156623500516247,-0.208355694826104,-0.10489130620639,2.95726152944338e-09,75.7356968600189,11429,TRUE
"55958_001",5,-0.0330164826278438,-0.154854522028922,0.0888215567732345,0.595332797077746,83.4071636374538,1839,FALSE
"55958_002",2,0.0880468660611535,0.0098873372818364,0.166206394840471,0.0272510103784195,0,621,FALSE
"57114_001",3,0.0462300346940547,-0.0373871285584315,0.129847197946541,0.278533464972154,0.000570838533067823,546,FALSE
"57182_001",14,0.389046583498624,0.29700037032871,0.481092796668537,1.19035378618643e-16,97.8209718119387,15139,TRUE
"57223_001",20,0.0872528562011851,0.0627205751935045,0.111785137208866,3.14885273932832e-12,37.7862029521574,11675,TRUE
"57223_002",7,0.00676135216713691,-0.09729440137457,0.110817105708844,0.898659535587727,87.7218998867005,3333,FALSE
"57223_003",11,0.0967696390301768,0.0621538004955819,0.131385477564772,4.27399367036665e-08,45.7003667943236,6675,TRUE
"57223_004",8,0.0721182970311732,0.0337633497411147,0.110473244321232,0.000228438608249575,35.2555846743094,4809,TRUE
"57223_005",1,0.108,-0.0325322194852681,0.248532219485268,0.132004003989455,0,191,FALSE
"57230_001",9,0.0588720259904118,-0.0170879259498938,0.134831977930717,0.12874962710418,92.3496893454087,13856,FALSE
"57230_002",2,0.179496402760334,0.131699377970392,0.227293427550276,1.83323642292023e-13,26.2089042928704,2232,TRUE
