"effect_size_id","ok","k","pooled_r","cilb95","ciub95","cilb999","ciub999","i2","tau2","n_pooled","review_id","Study.Level.Available.","Value","Value...CI.lower.bound","Value...CI.upper.bound","p.value","Statistical.Test","k..number.of.effects.informing.this.test.","Combined.N","Exposure...Author.Description","exposure","Outcome...Author.Description","cat","Outcome.Level.2","Outcome.Level.3","outcome","Benefit.or.Risk.","Moderator.Level.Recoded","Moderator.Category.Recoded","Use.Moderator","I2.calculated","Value_raw_SE","Value_raw_SD"
"52795_002",TRUE,6,-0.0315950230354083,-0.112110334617368,0.0489202885465516,-0.166769846218199,0.103579800147382,0,0,597,52795,TRUE,-0.066,-0.124,-0.007,"<0.001","Hedge's g",6,597,"Active Videogames","Video games: Physically active","BMI z-score","physical health","physical health_body composition","physical health_body composition_bmi z score","Body composition: BMI z-score","Risk","Overall","Overall",TRUE,97.55,NA,NA
"59679_002",TRUE,2,2.59783593277543e-05,-0.213823624233264,0.213875580951919,-0.358999921810453,0.359051878529109,0,0,86,59679,TRUE,-0.05,-0.13,0.03,"-999","Unstandardized Mean difference",2,86,"Active video games","Video games: Physically active","BMI z-score","physical health","physical health_body composition","physical health_body composition_bmi z score","Body composition: BMI z-score","Risk","Overall","Overall",TRUE,98,NA,NA
"59588_001",TRUE,5,-0.0596700541932679,-0.160079750339064,0.0407396419525288,-0.228244983056698,0.108904874670162,41.7679074925856,0.00521190341800814,781,59588,TRUE,-0.35,-0.63,-0.06,"0.02","Mean difference",5,615,"Digital-based Intervention","Intervention: To promote health","Body fat percentage","physical health","physical health_body composition","physical health_body composition_adiposity","Body composition: Body fat percentage","Risk","RCTs","Study Design",TRUE,0,NA,NA
"59588_008",TRUE,4,-0.0749499910572878,-0.16716670046463,0.0172667183500539,-0.229769951928298,0.0798699698137219,37.7320050123094,0.00338020940852005,1111,59588,TRUE,-0.85,-1.33,-0.37,"0.0006","Mean difference",4,1111,"Digital-based Intervention","Intervention: To promote health","Body fat percentage","physical health","physical health_body composition","physical health_body composition_adiposity","Body composition: Body fat percentage","Risk","Quasi-experimental","Study Design",TRUE,0,NA,NA
"54703_005",TRUE,4,-1.02010407983693e-05,-0.0856316250695632,0.0856112229879665,-0.143757528429149,0.143737126347552,0,0,528,54703,TRUE,-999,-999,-999,"-999","Weighted mean difference",3,433,"Information and communication technology for weight loss and weight management","Intervention: To promote healthy weight","Body fat percentage","physical health","physical health_body composition","physical health_body composition_adiposity","Body composition: Body fat percentage","Risk","Overall","Overall",TRUE,-999,NA,NA
"52795_003",TRUE,3,-0.301692782740641,-0.463574729310374,-0.139810836170909,-0.573471691299848,-0.0299138741814348,44.0345693847523,0.00978623167473629,408,52795,TRUE,-0.462,-0.819,-0.105,"0.06","Hedge's g",3,408,"Active Videogames","Video games: Physically active","Body fat percentage","physical health","physical health_body composition","physical health_body composition_adiposity","Body composition: Body fat percentage","Risk","Overall","Overall",TRUE,64.59,NA,NA
"59080_006",TRUE,3,0.00139510243136914,-0.0870566125635729,0.0898468174263112,-0.147103918434804,0.149894123297542,0,0,494,59080,TRUE,-2.57,-4.64,-0.49,"-999","Mean difference",3,494,"Active video games","Video games: Physically active","Body fat percentage","physical health","physical health_body composition","physical health_body composition_adiposity","Body composition: Body fat percentage","Risk","Overall","Overall",TRUE,37,NA,NA
"54703_002",TRUE,2,8.18779574545099e-05,-0.0815123383094455,0.0816760942243545,-0.136904287032905,0.137068042947814,0,0,579,54703,TRUE,-999,-999,-999,"-999","Weighted mean difference",2,510,"Information and communication technology for weight loss and weight management","Intervention: To promote healthy weight","Body weight","physical health","physical health_body composition","physical health_body composition_weight","Body composition: Body weight","Risk","Overall","Overall",TRUE,-999,NA,NA
"55958_001",TRUE,5,-0.0330164826278438,-0.154854522028922,0.0888215567732345,-0.237566835962982,0.171533870707294,83.4071636374538,0.0154548412518216,1839,55958,TRUE,-999,-999,-999,"-999","Pooled mean effect size",5,1839,"technology interventions to prevent obesity","Intervention: To promote healthy weight (obesity prevention)","Body weight","physical health","physical health_body composition","physical health_body composition_weight","Body composition: Body weight","Risk","Post-intervention","Timepoint",TRUE,-999,NA,NA
"55958_002",TRUE,2,0.0880468660611535,0.0098873372818364,0.166206394840471,-0.0431729016477457,0.219266633770053,0,0,621,55958,TRUE,-999,-999,-999,"-999","Pooled mean effect size",2,621,"technology interventions to prevent obesity","Intervention: To promote healthy weight (obesity prevention)","Body weight","physical health","physical health_body composition","physical health_body composition_weight","Body composition: Body weight","Risk","Long term follow up","Timepoint",TRUE,-999,NA,NA
"59080_007",TRUE,4,0.00075544680687985,-0.0930022756729511,0.0945131692867108,-0.156651676251089,0.158162569864849,0,0,441,59080,TRUE,-1.76,-4.05,0.53,"-999","Mean difference",4,441,"Active video games","Video games: Physically active","Body weight","physical health","physical health_body composition","physical health_body composition_weight","Body composition: Body weight","Risk","Overall","Overall",TRUE,0,NA,NA
"59679_004",TRUE,2,-4.57247370854485e-06,-0.217778348523747,0.21776920357633,-0.365618653733853,0.365609508786436,0,0,83,59679,TRUE,0.01,-0.01,0.03,"-999","Unstandardized Mean difference",2,83,"Active video games","Video games: Physically active","Bone mineral density","physical health","physical health_body composition","physical health_body composition_bone density","Body composition: Bone mineral density","Benefit","Overall","Overall",TRUE,94,NA,NA
"52795_005",TRUE,3,-0.0555648026444627,-0.31669135212371,0.205561746834784,-0.493962598798532,0.382832993509606,75.1599880709841,0.0393261102496785,408,52795,TRUE,0.106,-0.594,0.806,"0.27","Hedge's g",3,408,"Active Videogames","Video games: Physically active","Fat-free mass","physical health","physical health_body composition","physical health_body composition_adiposity","Body composition: Fat-free mass","Benefit","Overall","Overall",TRUE,0,NA,NA
"59588_006",TRUE,3,-0.0159914961543716,-0.113902486586561,0.0819194942778173,-0.180371420410772,0.148388428102029,62.5477074239779,0.00466347188513201,1423,59588,TRUE,-0.04,-1.27,1.2,"-999","Mean difference",3,1423,"Digital-based Intervention","Intervention: To promote health","Hip circumference","physical health","physical health_body composition","physical health_body composition_hip circumference","Body composition: Hip circumference","Risk","RCTs","Study Design",TRUE,44,NA,NA
"59588_002",TRUE,7,0.0674403917866676,0.0136018498117778,0.121278933761557,-0.0229475760282092,0.157828359601544,59.7539623751774,0.00290957117343201,3776,59588,TRUE,0.35,0.08,0.62,"0.01","Mean difference",7,3102,"Digital-based Intervention","Intervention: To promote health","Waist circumference","physical health","physical health_body composition","physical health_body composition_waist circumference","Body composition: Waist circumference","Risk","RCTs","Study Design",TRUE,28,NA,NA
"54703_004",TRUE,3,0.000360695502421059,-0.0751903205025018,0.0759117115073439,-0.126479715707437,0.127201106712279,0,0,676,54703,TRUE,-999,-999,-999,"-999","Weighted mean difference",3,607,"Information and communication technology for weight loss and weight management","Intervention: To promote healthy weight","Waist circumference","physical health","physical health_body composition","physical health_body composition_waist circumference","Body composition: Waist circumference","Risk","Overall","Overall",TRUE,-999,NA,NA
"52795_004",TRUE,3,-0.191130262386917,-0.54973232880978,0.167471804035947,-0.793176878977976,0.410916354204142,90.1438531675091,0.0882123550409544,443,52795,TRUE,-0.426,-1.295,0.444,"0.52","Hedge's g",3,443,"Active Videogames","Video games: Physically active","Waist circumference","physical health","physical health_body composition","physical health_body composition_waist circumference","Body composition: Waist circumference","Risk","Overall","Overall",TRUE,23.5,NA,NA
"47837_003",TRUE,2,0.157739019221682,-0.00220214800232513,0.317680186445688,-0.110781571140144,0.426259609583507,9.84612994868098,0.00141565379800973,161,47837,TRUE,0.32,-0.01,0.66,"0.06","Standardised mean difference",2,140," ","Video games: Health promoting content","  ","physical health","physical health_cardiometabolic health","physical health_cardiometabolic health","Cardiometabolic health: Fitness","Benefit","Cardio endurance (6 minute walk test)","Physical fitness component",TRUE,0,NA,NA
"52772_002",TRUE,4,0.212239287414663,-0.00904309727733754,0.433521672106663,-0.159265295210704,0.583743870040029,90.2013664042177,0.044933737539483,892,52772,TRUE,0.438,0.022,0.855,"0.001","Hedge's g",4,892,"Active Videogames","Video games: Physically active","Cardiorespiratory fitness","physical health","physical health_cardiometabolic health","physical health_cardiometabolic health_fitness","Cardiometabolic health: Fitness","Benefit","Overall","Overall",TRUE,82.9,NA,NA
"59679_003",TRUE,2,0.00567888585218899,-0.212087444144918,0.223445215849296,-0.359922694445485,0.371280466149863,0,0,83,59679,TRUE,-11.16,-16.64,-5.68,"-999","Unstandardized Mean difference",2,83,"Active video games","Video games: Physically active","Total cholesterol","physical health","physical health_cardiometabolic health","physical health_cardiometabolic health_total cholesterol","Cardiometabolic health: Total cholesterol","Risk","Overall","Overall",TRUE,91,NA,NA
"59157_001",TRUE,14,0.305841420446515,0.215490926813589,0.396191914079441,0.154154595153957,0.457528245739073,17.2756773266503,0.00506892133077082,472,59157,TRUE,0.59,0.4,0.77,"<0.01","Standardized mean difference",14,472,"Active video games","Intervention: Active video games for motor skills","Locomotor skills","physical health","physical health_gross motor skills","physical health_gross motor skills_locomotor","Developmental: Gross motor (locomotor)","Benefit","Overall","Overall",TRUE,0,NA,NA
"59157_005",TRUE,17,0.267114479259036,0.119374206697667,0.414854751820404,0.0190776173494694,0.515151341168602,82.6685706957555,0.0703745628879089,556,59157,TRUE,0.51,0.2,0.81,"<0.01","Standardized mean difference",17,556,"Active video games","Intervention: Active video games for motor skills","Non-locomotor skills","physical health","physical health_gross motor skills","physical health_gross motor skills_non-locomotor","Developmental: Gross motor (non-locomotor)","Benefit","Overall","Overall",TRUE,66,NA,NA
"59157_004",TRUE,5,0.15624587604738,-0.0842741916276889,0.396765943722449,-0.247556295006689,0.56004804710145,73.1992512617583,0.0549158381034935,214,59157,TRUE,0.32,-0.17,0.82,"0.2","Standardized mean difference",5,214,"Active video games","Intervention: Active video games for motor skills","Object control skills","physical health","physical health_gross motor skills","physical health_gross motor skills_object control","Developmental: Gross motor (object control skills)","Benefit","Overall","Overall",TRUE,68,NA,NA
"52765_001",TRUE,3,0.053755521909478,-0.0449715817902358,0.152482625609192,-0.11199455125981,0.219505595078766,88.9676351837441,0.00665465159435394,6773,52765,TRUE,1.77,1.28,2.45,"-999","Odds ratio",11,13968,"screen time on smartphones or tablets, or both, either alone or in combination with computer screen time","Screen use: General","Myopia","physical health","physical health_eye health","physical health_eye health_myopia","Eye health: Myopia","Risk","Overall","Overall",TRUE,87,NA,NA
"52765_002",TRUE,3,0.053755521909478,-0.0449715817902358,0.152482625609192,-0.11199455125981,0.219505595078766,88.9676351837441,0.00665465159435394,6773,52765,TRUE,2.01,1.27,3.19,"-999","Odds ratio",8,13968,"screen time on smartphones or tablets, or both, either alone or in combination with computer screen time","Screen use: General","Myopia","physical health","physical health_eye health","physical health_eye health_myopia","Eye health: Myopia","Risk","Cross-sectional","Study Type",TRUE,90,NA,NA
"52765_004",TRUE,3,0.053755521909478,-0.0449715817902358,0.152482625609192,-0.11199455125981,0.219505595078766,88.9676351837441,0.00665465159435394,6773,52765,TRUE,1.26,1,1.6,"-999","Odds ratio",7,12495,"screen time on smartphones or tablets","Screen use: General (phone or tablet)","Myopia","physical health","physical health_eye health","physical health_eye health_myopia","Eye health: Myopia","Risk","Overall","Overall",TRUE,77,NA,NA
"52765_005",TRUE,3,0.053755521909478,-0.0449715817902358,0.152482625609192,-0.11199455125981,0.219505595078766,88.9676351837441,0.00665465159435394,6773,52765,TRUE,1.37,1.01,1.87,"-999","Odds ratio",5,10651,"screen time on smartphones or tablets","Screen use: General (phone or tablet)","Myopia","physical health","physical health_eye health","physical health_eye health_myopia","Eye health: Myopia","Risk","Cross-sectional","Study Type",TRUE,82,NA,NA
"47837_004",TRUE,2,0.222827524157363,-0.0427960258381382,0.488451074152864,-0.223120155834872,0.668775204149598,67.0422112002145,0.0249911924861494,161,47837,TRUE,0.46,-0.12,1.04,"0.12","Standardised mean difference",2,140," ","Video games: Health promoting content","  ","physical health","physical health_muscular fitness","physical health_muscular fitness","Physical health: Muscular fitness","Benefit","Functional muscle strength","Physical fitness component",TRUE,64,NA,NA
"47769_001",TRUE,68,0.205282784378542,0.134639134706517,0.275926434050568,0.0866812082835097,0.323884360473575,87.1636639251986,0.0682693457199482,3540,47769,TRUE,0.52,0.25,0.79,"0.001","Hedge's g",24,1547," ","Intervention: Cognitive training","  ","psychology","psychology_cognition","psychology_cognition_cognitive function","Cognition: Cognitive Functioning","Benefit","overall","overall",TRUE,79.56,NA,NA
"59227_004",TRUE,10,-0.0659557764551778,-0.171702649752853,0.0397910968424973,-0.243491137360978,0.111579584450622,79.6770370354346,0.0219624952082004,2001,59227,TRUE,-0.07,-0.16,0.02,"0.143","correlation",10,1589,"Smartphone and/or tablet use","Screen use: General (mobile or tablet)","Cognitive factors","psychology","psychology_cognition","psychology_cognition_cognitive function","Cognition: Cognitive Functioning","Benefit","Overall","Overall",TRUE,56.54,NA,NA
"60339_001",TRUE,165,0.275429348088171,0.220322220731026,0.330536475445315,0.182911589040182,0.36794710713616,97.1482148131515,0.117354096013212,18963,60339,TRUE,-999,-999,-999,"-999","-999",29,3406,"Multilmedia technology","Screen use: General","Creativity","psychology","psychology_cognition","psychology_cognition_creativity","Cognition: Creativity","Benefit","Overall","Overall",TRUE,-999,NA,NA
"60339_002",TRUE,4,0.536657848921741,0.361351224450475,0.711964473393008,0.242340637697227,0.830975060146256,81.6616905697984,0.0256309368993501,318,60339,TRUE,1.31,0.1,2.52,"-999","Hedge's g",2,166,"Multilmedia technology","Screen use: General","Creativity","psychology","psychology_cognition","psychology_cognition_creativity","Cognition: Creativity","Benefit","Kindergarten","Educational level",TRUE,-999,NA,NA
"60339_003",TRUE,60,0.199310439879469,0.126355617196998,0.272265262561941,0.0768287023978184,0.32179217736112,84.2106199569739,0.0673955702417715,3648,60339,TRUE,0.41,-0.05,0.87,"-999","Hedge's g",11,760,"Multilmedia technology","Screen use: General","Creativity","psychology","psychology_cognition","psychology_cognition_creativity","Cognition: Creativity","Benefit","Elementary","Educational level",TRUE,-999,NA,NA
"60339_004",TRUE,55,0.324872652920653,0.233389011461995,0.416356294379311,0.171283418583483,0.478461887257823,97.2400189927468,0.110156031866159,5377,60339,TRUE,0.96,0.46,1.46,"-999","Hedge's g",8,832,"Multilmedia technology","Screen use: General","Creativity","psychology","psychology_cognition","psychology_cognition_creativity","Cognition: Creativity","Benefit","Middle School","Educational level",TRUE,-999,NA,NA
"60339_005",TRUE,46,0.285015313979709,0.154809040994143,0.415221586965274,0.066415775801215,0.503614852158202,98.9605597327561,0.187193711511695,9620,60339,TRUE,0.73,0.24,1.21,"-999","Hedge's g",8,1648,"Multilmedia technology","Screen use: General","Creativity","psychology","psychology_cognition","psychology_cognition_creativity","Cognition: Creativity","Benefit","High School","Educational level",TRUE,-999,NA,NA
"53145_001",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,53145,TRUE,0.38,0.28,0.48,"-999","Standardized mean difference",34,2585,"Computer-based executive functioning training","Computer use: Executive functioning training","Executive functioning","psychology","psychology_cognition","psychology_cognition_cognitive function","Cognition: Executive functioning","Benefit","Overall","Overall",TRUE,34,NA,NA
