subject;condition;instruct;as1;as2;as3;as4;as5;as6;as7;as8;as9;as10;as11;as12;as13;as14;as15;as16;as17;as18;as19;as20;as21;as22;as23;ni1;ni2;ni3;ni4;ni5;ni6;sh1;sh2;sh3;sh4;sex;religion;party;age_groups
37;1;1;2;6;2;5;1;1;7;2;3;1;2;1;2;3;1;4;6;7;2;1;2;2;4;6;3;6;2;6;2;7;6;3;3;2;1;1;2
38;0;0;1;7;1;4;7;4;7;4;1;1;4;4;4;4;4;4;7;7;1;1;2;4;7;6;1;6;1;4;1;7;4;4;4; ; ; ; 
39;0;0;4;6;5;6;5;3;4;6;6;3;4;7;4;6;6;3;4;6;6;1;4;2;2;5;5;6;6; ;3;3;5;4;4;2;1;2;1
40;1;1;5;4;3;1;4;5;6;4;5;4;1;5;5;6;4;3;7;6;1;4;5;1;4;6;3;6;5;4;3;7;7;6;7;1;1; ;1
41;1;1;1;7;2;7;1;1;7;5;2;1;3;3;5;3;5;3;3;7;5;1;5;1;7;5;6;7;1;7;1;7;1;1;5;2;1;3;3
42;0;1;2;4;2;4;3;4;5;4;4;1;6;4;4;4;4;1;5;6;4;1;4;2;6;4;4;7;2;6;4;1;1;1;1;2;3;4;3
43;1;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;4;1;1;1;7;7;7;7;2;1;5;3
44;1;1;1;3;1;7;5;5;3;1;2;6;7;5;5;2;1;4;7;7;7;7;7;7;7;6;6;7;1;6;1;3;7;6;6;2;3;2;2
45;1;1;5;7;2;1;5;2;4;3;1;1;2;2;5;6;4;2;3;3;1;2;2;1;4;4;2;3;1;6;3;5;5;4;3;1;1;1;2
46;0;1;4;6;6;5;4;3;6;2;7;1;5;3;2;3;4;2;6;7;4;2;4;1;1;6;2;5;1;7;4;2;2;2;1;2;1;1;2
47;0;1;3;3;1;1;3;2;7;4;4;4;3;3;1;4;3;3;7;4;1;1;1;1;5;7;5;7;4;6;4;7;7;7;7;2;1;2;2
48; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
49;1;1;1;4;3;2;1;5;7;1;6;2;6;7;6;2;1;7;7;7;7;1;3;1;4;3;4;1;1;1;1;1;7;4;4;1;3;2;1
