handle,author_id,name,party,N_tweets,followers_count,following_count,tweet_count,created_at,congress,type,NG_unreliable_share,NG_score_mean,accuracy_mean,transparency_mean,independent_unreliable_share,avg_belief_score,avg_truth_score,avg_belief_score_2010_to_2013,avg_truth_score_2010_to_2013,avg_belief_score_2019_to_2022,avg_truth_score_2019_to_2022,LIWC_analytic_mean,LIWC_authentic_mean,LIWC_moral_mean,VADER_neg_mean,VADER_pos_mean,VADER_neu_mean,VADER_compound_mean,ideology_mean,ideology_std,ideology_count,state,pf_score
UptonForAllOfUs,153507902,Fred Upton,Republican,1262,2863,871,1424,2010-06-08 19:01:16+00:00,116.0,official,0.053691275167785234,88.72818791946308,3.824074074074074,2.740740740740741,0.10185185185185185,-0.002626911830229052,0.0051740159246475665,-0.04715147387105735,-0.04127603389899752,0.008230979394140643,-0.006883026628798018,82.16090332805071,23.070182250396197,0.3835419968304279,0.029072107765451664,0.17496038034865294,0.7959714738510301,0.3875670364500792,,,,,
RobWittman,15356407,Rep. Rob Wittman,Republican,4683,30865,6429,7615,2008-07-08 18:25:49+00:00,118.0,official,0.015915119363395226,88.67771883289124,4.146417445482866,2.8193146417445485,0.028037383177570093,0.026865320121165284,0.0437721250427653,0.03863245172194267,0.0561423135049882,0.02640127766747336,0.04240824155783502,78.14742045697203,35.99071535340593,0.3646380525304292,0.04546658125133461,0.1506117873158232,0.8039162929745889,0.3023729019859065,0.7585523859527954,0.05516396068783939,9.0,VA,0.25
PaulTonko,153865861,Paul D. Tonko,Democrat,5343,3257,810,7201,2010-06-09 19:04:08+00:00,116.0,official,0.004891684136967156,94.78511530398323,3.9763119533527695,2.8498542274052476,0.00510204081632653,0.06259298931321342,0.06630836318504386,0.045060641474031646,0.03855175767898669,0.05309657881610608,0.060252820691598735,79.57533033876099,25.896535654126897,0.5311603967808347,0.08878401647014786,0.11547875725247989,0.7957304884896125,0.09210076735916152,,,,,
RepLloydDoggett,153944899,Lloyd Doggett,Democrat,12883,41988,1296,16824,2010-06-09 23:53:50+00:00,118.0,official,0.0,97.42249757045676,4.008683360258481,2.9244749596122777,0.0008077544426494346,0.0058640801475746615,0.014677910084429868,-0.021550747813729766,-0.006820447007933987,0.006201879836716548,0.017939554054429964,82.03622991539238,26.06327563455717,0.6229954203213537,0.07407381821004425,0.13285088876814408,0.7930756811301715,0.17885735465341926,0.29787779365385103,0.05213676984082677,9.0,TX,0.711
boblatta,15394954,U.S. Rep. Bob Latta,Republican,6157,38903,3051,9726,2008-07-11 18:33:24+00:00,118.0,official,0.0043859649122807015,91.68713450292398,3.9072790294627384,2.766031195840555,0.04852686308492201,-0.04428303037925025,-0.028251900291864297,-0.08603580032530779,-0.05321410939659416,-0.012446321889259131,-0.00973025175977235,84.99945256660169,25.69567576348278,0.36379142300194933,0.04182150397921065,0.15727951924638622,0.8008955660224134,0.3022797141464999,0.7967097629077664,0.08006444411988459,9.0,OH,
JoeNeguse,1542372750,Joe Neguse,Democrat,1456,86174,1132,2631,2013-06-24 03:30:41+00:00,116.0,official,0.0,96.03556485355648,4.259887005649717,2.9661016949152543,0.0,-0.025809444402590274,-0.03759091318081258,-0.0353460920855288,-0.05141552049976667,-0.011791372506290686,-0.025979617381838526,83.8801510989011,23.54245192307692,0.638021978021978,0.03937980769230769,0.1919217032967033,0.7686895604395604,0.4549918956043956,0.27212809800051,0.03023682543709651,3.0,CO,
kevinomccarthy,15428227,Kevin McCarthy,Republican,549,87869,328,1684,2008-07-14 15:59:49+00:00,116.0,official,0.057971014492753624,86.02898550724638,3.6379310344827585,2.5517241379310347,0.08620689655172414,0.005777343486108744,-0.03349519435567939,-0.06572403295465369,-0.09310403127776884,0.028447814192215884,-0.018206435369585737,79.04928961748634,27.055409836065575,0.6614936247723133,0.03852823315118397,0.23763934426229508,0.7238360655737706,0.4069630236794171,0.48076275255655815,0.047614031740132554,9.0,CA,0.273
SenatorBoxer,15442036,Sen. Barbara Boxer,Democrat,1821,103553,154,2228,2008-07-15 16:02:13+00:00,114.0,official,0.0,94.44174757281553,4.04,2.92,0.0,0.05305644812249956,0.050122651546456364,0.03398183869186665,0.03595347976251071,,,81.32957166392092,24.4820483250961,0.8150961010433827,0.08280120812740253,0.14695277320153763,0.7702493135639759,0.15511850631521143,0.06191884019260442,0.03573505090733523,4.0,CA,0.49
USRepMikeFlood,1547025742529167360,Rep. Mike Flood,Republican,302,2655,192,529,2022-07-13 01:11:52+00:00,118.0,official,0.0,88.65625,4.208333333333333,2.7083333333333335,0.0,-0.0021886752257404933,0.006369221745940959,,,-0.0021886752257404933,0.006369221745940959,83.32079470198676,26.606225165562915,0.42251655629139073,0.0379271523178808,0.15627152317880796,0.8057980132450331,0.320182119205298,0.3160945907499514,,1.0,NE,
JohnLarsonCT,155585373,John Larson,Democrat,2866,3694,653,3224,2010-06-14 14:58:25+00:00,116.0,official,0.0,93.28243021346469,3.9411764705882355,2.873440285204991,0.017825311942959002,0.057634352536267405,0.04630545143330552,-0.018617086191784545,-0.04406564133747998,0.07441121759184234,0.06942520964449125,71.78650383810188,31.93424982554082,0.4408513607815771,0.05733042568039079,0.17579064898813676,0.7668785764131193,0.32604225401256104,,,,,
LangevinForRI,155654527,LangevinForCongress,Democrat,2282,1243,680,2588,2010-06-14 18:53:01+00:00,116.0,official,0.01639344262295082,91.12060889929742,4.147909967845659,2.8585209003215435,0.028938906752411574,0.014712140404650718,0.010846809792105323,-0.03140083674453793,-0.039973878312151885,0.023894483452134713,0.03466111467082602,82.79132340052585,23.692370727432078,0.508737949167397,0.034103856266432954,0.2024167397020158,0.7634820333041192,0.42983115687992984,0.26327213634897556,0.023431586219575383,9.0,RI,0.5
RepDavidEPrice,155669457,Rep. David E. Price,Democrat,5400,35814,3012,7574,2010-06-14 19:44:06+00:00,117.0,official,0.0,96.96099290780141,4.172489082969432,2.927947598253275,0.0,-0.022348726342371124,0.0047247756656046335,-0.09371087158401033,-0.05018216972467326,-0.0089884581501487,0.017924736671364894,84.89817037037037,26.189766666666664,0.5961129629629629,0.06113277777777778,0.14728814814814814,0.7915831481481481,0.25059842592592596,0.2897955091850572,0.05257053542910241,9.0,NC,0.625
MikeforWI,1558285818,Mike Gallagher,Republican,130,7001,0,148,2013-06-30 15:34:55+00:00,117.0,official,0.0,96.5625,3.7142857142857144,2.7142857142857144,0.0,0.037383120550636674,0.012359967390273077,,,0.037383120550636674,0.012359967390273077,79.09853846153845,26.952,0.4578461538461538,0.051684615384615384,0.12995384615384614,0.818376923076923,0.2636184615384616,0.7114642901163544,0.09973051199813542,5.0,WI,
RepShimkus,15600527,Archive: Rep. John Shimkus,Republican,6929,28129,1060,10411,2008-07-25 17:01:16+00:00,116.0,official,0.01466275659824047,90.66275659824046,3.8973214285714284,2.705357142857143,0.09821428571428571,0.004818351882662296,-0.021076638783857182,-0.020085046858529756,-0.030526046979834742,,,70.06139702698802,31.210837061625057,0.5171640929427046,0.048966373214028,0.12056443931303218,0.8304671669793621,0.17347820753355464,0.6758090889709458,0.048614430270223725,8.0,IL,
KindforCongress,156045092,Ron Kind,Democrat,2298,4699,1782,2718,2010-06-15 21:48:28+00:00,116.0,official,0.0,93.64247311827957,4.2063492063492065,2.9206349206349205,0.0,0.010413926657651139,-0.00243925330707834,0.017143159148953226,0.004744215891997326,0.011200416448480306,-0.014069332676164727,76.24137946040035,30.710761531766753,0.30161444734551784,0.028286335944299388,0.17187902523933857,0.7998294168842471,0.3604865535248042,,,,,
RepAlGreen,156333623,Congressman Al Green,Democrat,2375,77768,669,3477,2010-06-16 17:20:23+00:00,118.0,official,0.0,84.57798165137615,4.102941176470588,2.7058823529411766,0.0,-0.029412026481258468,-0.03840771861116489,-0.03721917128335995,-0.03458984221910404,-0.033947027976803955,-0.04456523503590752,80.24760421052632,32.93998315789474,1.1292757894736842,0.06478947368421052,0.12592084210526316,0.8092884210526315,0.16641313684210526,0.24841429035213652,0.047473025380469,9.0,TX,
RepMikeRogers,156703580,Mike Rogers,Republican,3397,20230,741,4974,2010-06-17 17:32:16+00:00,117.0,official,0.014018691588785047,91.35514018691589,4.0608108108108105,2.8063063063063063,0.0472972972972973,-0.009114666995696586,-0.0020263770745151282,-0.021848683376137584,0.021862356463746315,-0.019425673052746756,-0.026355868765086395,80.5456697085664,29.398601707388874,0.3285398881365911,0.06399970562260819,0.1397998233735649,0.796203414777745,0.1703480423903444,0.6802258291012702,0.08478949150984393,9.0,AL,0.45
RepPatRyanNY,1569400849130049537,Rep. Pat Ryan,Democrat,168,4955,284,239,2022-09-12 19:02:51+00:00,118.0,official,0.0,93.125,3.6666666666666665,2.6666666666666665,0.0,0.01564932738761049,0.028716235605088087,,,0.01564932738761049,0.028716235605088087,80.59857142857143,40.952202380952386,0.814047619047619,0.05235714285714285,0.15536309523809524,0.7922619047619047,0.3715857142857143,0.2882971753037288,,1.0,NY,
Rep_Peltola,1570080351674048514,Rep. Mary Peltola,Democrat,200,4801,187,257,2022-09-14 16:02:54+00:00,118.0,official,0.0,95.71428571428571,4.111111111111111,2.888888888888889,0.0,0.0068344380414946575,0.013317359811441809,,,0.0068344380414946575,0.013317359811441809,78.46975,31.59645,0.22225,0.027120000000000002,0.16257000000000002,0.8103100000000001,0.387787,0.2832012746839797,,1.0,AK,
