subject;condition;instruct;as1;as2;as3;as4;as5;as6;as7;as8;as9;as10;as11;as12;as13;sex;as3r;as6r;as13r;as;age_groups
24;1;1;3;1;5;1;1;6;2;1;4;2;1;3;4;2;3;2;4;2,15384615384615;2
25;0;0;1;1;4;1;1;7;3;1;1;3;4;1;7;2;4;1;1;1,76923076923077;3
26;0;0;3;1;7;3;1;7;3;1;5;1;2;1;5;1;1;1;3;2;3
27;0;0;3;1;4;6;2;6;4;3;1;5;6;1;1;1;4;2;7;3,46153846153846;1
28;1;1;3;1;6;3;6;7;2;1;3;2;2;3;4;1;2;1;4;2,53846153846154;1
29;1;1;4;1;6;2;1;7;5;1;2;2;2;3;4;1;2;1;4;2,30769230769231;3
30;1;1;5;1;5;2;1;7;1;4;6;2;5;5;4;2;3;1;4;3,07692307692308;1
31;0;0;3;1;1;7;1;7;7;7;7;3;7;7;1;1;7;1;7;5;3
32;0;0;4;1;6;1;1;7;1;7;1;1;4;7;1;1;2;1;7;2,92307692307692;3
33;1;0;3;1;2;5;3;3;2;2;6;5;4;3;2;2;6;5;6;3,92307692307692;1
34;1;1;4;1;5;3;1;6;2;2;4;2;4;4;4;1;3;2;4;2,76923076923077;3
35;1;0;3;1;1;4;1;1;1;1;1;4;4;4;4;2;7;7;4;3,23076923076923;2
36;0;1;4;7;3;5;7;5;5;5;5;3;3;3;3;1;5;3;5;4,61538461538462;2
37;0;1;4;1;1;7;1;1;4;1;1;1;1;1;4;1;7;7;4;3,07692307692308;2
38;1;1;5;1;4;3;1;3;2;2;4;4;3;5;5;2;4;5;3;3,23076923076923;2
39;0;1;4;1;5;4;1;7;4;1;2;1;1;4;5;2;3;1;3;2,30769230769231;1
40;1;0;5;1;4;4;1;7;1;1;3;3;2;3;4;2;4;1;4;2,53846153846154;2
41;1;1;5;1;7;4;1;7;6;1;6;1;3;1;3;1;1;1;5;2,76923076923077;3
42;0;1;2;1;5;6;1;7;2;4;2;2;2;1;3;1;3;1;5;2,46153846153846;2
43;1;0;3;1;2;2;1;6;1;1;2;4;4;4;3;2;6;2;5;2,76923076923077;3
44;0;1; ;1;3; ;1;6;3;4;5;1;2;2;2;2;5;2;6;2,90909090909091;1
45;1;1;3;1;5;2;1;3;3;1;5;4;4;3;2;2;3;5;6;3,15384615384615;3
