"subj","cond","intercept","coef","bias","exp"
13,3,2.76875,0.522499999999998,10.75,4
14,3,3.24671200792722,0.586568777587605,29.8684803170887,4
17,3,2.3375,0.604999999999999,-6.5000000000002,4
18,3,3.2,0.674999999999999,27.9999999999998,4
19,3,2.74375,0.677499999999999,9.74999999999993,4
20,3,3.45624999999999,0.637499999999997,38.2499999999997,4
1,1,2.025,0.255,-19.0000000000002,5
2,1,2.525,0.325,0.999999999999819,5
3,1,1.79375,0.2825,-28.2500000000002,5
4,1,1.725,0.299999999999999,-31.0000000000002,5
5,1,3.00264776221387,0.372907413734199,20.1059104885549,5
6,1,1.4875,0.265,-40.5000000000001,5
8,1,2.64375,0.4525,5.74999999999983,5
9,1,2.06368126606522,0.511919762108764,-17.4527493573913,5
10,1,1.93125,0.442499999999998,-22.7500000000002,5
11,1,1.98125,0.0224999999999997,-20.7500000000002,5
12,1,2.55,0.399999999999999,1.99999999999989,5
14,1,2.18125,0.2725,-12.7500000000002,5
15,1,1.80625,0.222499999999999,-27.7500000000002,5
1,2,2.975,0.544999999999998,19,5
2,2,3.00625,0.467499999999999,20.25,5
3,2,3.06875,0.662499999999999,22.7499999999998,5
4,2,2.90625,0.812499999999999,16.25,5
5,2,2.95475953265103,0.626301965401685,18.1903813060412,5
6,2,2.73125,0.712499999999999,9.24999999999988,5
8,2,2.64374999999999,0.597499999999999,5.74999999999978,5
9,2,2.28500632644454,0.829607760438634,-8.59974694221844,5
10,2,2.03125,0.507499999999999,-18.7500000000002,5
11,2,2.18124999999999,0.217499999999999,-12.7500000000002,5
12,2,2.36875,0.232499999999999,-5.2500000000002,5
14,2,2.5125,0.305,0.499999999999883,5
15,2,2.84375,0.577499999999999,13.7499999999999,5
1,3,3.34375,0.432499999999999,33.7499999999999,5
2,3,2.95,0.549999999999999,18,5
3,3,3.39375,0.457499999999999,35.75,5
4,3,3.3375,0.719999999999999,33.4999999999999,5
5,3,2.88866621183695,0.723264540337711,15.5466484734778,5
6,3,3.1625,0.474999999999999,26.5,5
8,3,2.69999999999999,0.569999999999998,7.99999999999979,5
9,3,2.31820381302622,0.819316752153294,-7.27184747895111,5
10,3,2.0375,0.544999999999999,-18.5000000000002,5
11,3,2.19375,0.2375,-12.2500000000002,5
12,3,2.20625,0.462499999999999,-11.7500000000002,5
14,3,2.675,0.334999999999999,6.99999999999996,5
15,3,3.24375,0.557499999999999,29.75,5
