pref,rule,comm,rev,nsubj,file,period,subj,group,type,sample,action,groupdec,jar,payoff,time
het,5,1,0,18,HET_5_18_chat.txt,8,4,1,1,1,1,1,1,150,12
het,5,1,0,18,HET_5_18_chat.txt,8,1,2,1,2,2,2,2,50,19
het,5,1,0,18,HET_5_18_chat.txt,8,13,2,2,2,2,2,2,150,17
het,5,1,0,18,HET_5_18_chat.txt,8,17,2,2,2,2,2,2,150,33
het,5,1,0,18,HET_5_18_chat.txt,8,3,2,2,2,2,2,2,150,19
het,5,1,0,18,HET_5_18_chat.txt,8,6,2,1,1,2,2,2,50,22
het,5,1,0,18,HET_5_18_chat.txt,8,5,2,1,1,2,2,2,50,24
het,5,1,0,18,HET_5_18_chat.txt,8,11,2,2,2,2,2,2,150,37
het,5,1,0,18,HET_5_18_chat.txt,8,7,2,2,2,2,2,2,150,28
het,5,1,0,18,HET_5_18_chat.txt,8,18,2,2,2,2,2,2,150,15
het,5,1,0,18,HET_5_18_chat.txt,9,12,1,1,1,2,2,2,50,33
het,5,1,0,18,HET_5_18_chat.txt,9,4,1,2,2,2,2,2,150,27
het,5,1,0,18,HET_5_18_chat.txt,9,8,1,2,2,2,2,2,150,46
het,5,1,0,18,HET_5_18_chat.txt,9,16,1,1,2,2,2,2,50,34
het,5,1,0,18,HET_5_18_chat.txt,9,13,1,1,1,1,2,2,50,28
het,5,1,0,18,HET_5_18_chat.txt,9,17,1,2,1,1,2,2,150,17
het,5,1,0,18,HET_5_18_chat.txt,9,2,1,1,2,2,2,2,50,31
het,5,1,0,18,HET_5_18_chat.txt,9,7,1,2,1,1,2,2,150,43
het,5,1,0,18,HET_5_18_chat.txt,9,10,1,2,2,2,2,2,150,25
het,5,1,0,18,HET_5_18_chat.txt,9,9,2,1,2,2,2,2,50,33
het,5,1,0,18,HET_5_18_chat.txt,9,1,2,2,1,2,2,2,150,13
het,5,1,0,18,HET_5_18_chat.txt,9,14,2,1,1,1,2,2,50,26
het,5,1,0,18,HET_5_18_chat.txt,9,18,2,2,2,2,2,2,150,11
het,5,1,0,18,HET_5_18_chat.txt,9,5,2,2,2,2,2,2,150,23
het,5,1,0,18,HET_5_18_chat.txt,9,6,2,1,1,2,2,2,50,27
het,5,1,0,18,HET_5_18_chat.txt,9,11,2,1,2,2,2,2,50,36
het,5,1,0,18,HET_5_18_chat.txt,9,3,2,2,2,2,2,2,150,14
het,5,1,0,18,HET_5_18_chat.txt,9,15,2,2,2,2,2,2,150,24
het,5,1,0,18,HET_5_18_chat.txt,10,5,1,2,1,1,1,1,50,22
