subject;group;panas_1;panas_2;panas_3;panas_4;panas_5;panas_6;panas_7;panas_8;panas_9;panas_10;panas_11;panas_12;panas_13;panas_14;panas_15;panas_16;panas_17;panas_18;panas_19;panas_20;expl_1;expl_2;expl_3;expl_4;expl_5;expl_6;expl_7;expl_8;expl_9;expl_10;wsc_1;wsc_2;wsc_3;wsc_4;wsc_5;wsc_6;wsc_7;wsc_8;wsc_9;wsc_10;wsc_11;wsc_12;wsc_13;wsc_14;wsc_15;wsc_16;wsc_17;wsc_18;wsc_19;wsc_20;wsc_21;wsc_22;wsc_23;wsc_24;wsc_25;wsc_26;wsc_27;wsc_28;wsc_29;wsc_30;mc_a;mc_b;mc_c;mc_d;mc_e;mc_f;sex;bildung;migration;religion;uv_jew;uv_hol;mc_a_correct;mc_b_correct;mc_d_correct;mc_e_correct;mc_c_correct;mc_f_correct;mc_krit;expl_3r;expl_4r;expl_6r;expl_8r;expl_9r;expl_like;panas_pa;panas_na;wsc_1_hol;wsc_2_hol;wsc_3_hol;wsc_4_hol;wsc_5_hol;wsc_6_hol;wsc_7_hol;wsc_8_hol;wsc_9_hol;wsc_10_hol;wsc_hol_sum;age_groups
27;3;3;4;3;3;2;1;2;4;3;2;2;1;1;1;1;1;1;1;1;1;5;5;4;3;6;2;5;2;2;6;Deposit;Endlich;Ermessen;Gaskammer;Genosse;Holraum;Konzern;Kremmel;Vergangenheit;Vernunft;Aktenzeichen;Altenpflege;Beweis;Einwanderung;Empfindung;Erfahrung;fortune;Funktion;Gymnasium;Hintern;Kilogramm;Kreisel;Liebe;Monogamie;Nager;Person;Regenbogen;Rücken;Stein;Zusatz;4;3;2;4;4;3;1;3;0;0;1;0;1;1;1;0;1;1;1;4;5;6;6;6;5,4;2,7;1,1;0;0;0;1;0;0;0;0;0;0;1;1
28;4;2;3;2;2;3;1;1;3;4;4;1;1;1;1;2;1;1;2;2;1;3;3;5;6;2;5;3;6;5;2;t;osigkeit;ächtigung;ammer;zid;z;entration;pel;ngenheit;ichtung;nkoffer;r;gung;and;ang;hrung;schritt;gerät;astik;erteil;gramm;s;e;gramm;tier;on;n;schritt;n;ge;4;3;1;4;2;3;1;3;0;1;0;0;1;1;1;1;1;1;1;3;2;3;2;3;2,6;2,5;1,3;0;0;0;1;1;0;0;0;0;1;3;1
29;1;2;2;4;3;3;3;3;2;3;2;2;1;3;3;3;3;3;4;4;3;2;3;4;5;3;5;2;4;4;5;Deposition;Endlich;Ermüdung;0;Genotyp;Holz;Konzern;0;Vergangenheit;Vernissage;0;Alter;Bewegung;Einwanderung;Empfang;Erfahrung;Fortbewegung;Funktion;Gymnasium;Hintergund;Kilogram;Kreis;Liebchen;Monopoly;Nager;Person;Regenwald;Rücken;Stein;Zusage;4;3;2;4;2;2;1;9;0;1;1;1;1;1;1;1;1;1;1;4;3;3;4;4;3,3;2,7;2,9;0;0;0;0;0;0;0;0;0;0;0;1
30;2;3;1;1;2;1;3;2;1;2;2;3;1;1;2;3;1;2;3;2;2;3;2;3;4;3;4;3;1;3;5;0;0;Ermässigung;0;Genotyp;0;Konzetration;0;0;Vernseher;0;A;Bewegung;Einweiung;Empfang;Erfahrung;bewegung;Funksystem;Gymnasium;0;Kilometer;K;Liebeslied;monoton;Nagel;Person;regierung;Rückmeldung;Steigung;Zusammen;4;3;1;4;2;2;1;3;1;3;0;1;1;1;1;1;1;1;1;5;4;4;7;5;4,1;1,8;2;0;0;0;0;0;0;0;0;0;0;0;1
32;4;4;3;1;3;2;1;1;4;4;3;1;1;1;1;1;2;1;2;2;1;3;4;1;2;6;3;6;1;1;7;Depot;Endlich;Ermächtigung;Gaskammer;Genoxide;Hollywood;Koonzentration;Krematorium;Vergammelt;Vernachlässigung;Akten;Altersarmut;Bewegung;Einwanderung;Empfang;Erfahrung;Fortsetzung;Funksignal;Gymnasium;Hinterür;Kilogramm;Kreis;Liebesbrief;Monoton;Nagel;Personalausweis;Regen;Rückgabe;Stein;Zusammenhang;4;3;1;4;2;3;2;3;0;2;0;0;1;1;1;1;1;1;1;7;6;5;7;7;5,8;2,6;1,3;0;0;0;1;0;0;0;1;0;0;2;2
34;2;2;1;1;1;1;1;1;2;2;2;4;3;3;1;1;3;2;2;5;4;5;6;6;6;5;3;6;2;1;7;Deportation;Endlager;Ermässigung;Gaskammer;Genossenschaft;Holz;entration;Krematorium;Vergangenheit;Vernunft;Akten;Alter;Bewerbung;Einwanderung;Empfang;Erfahrung;Fortsetzung;Funktion;Gymnasium;Hinterhalt;Kilometer;Kreide;Liebe;Monopol;Nager;Person;Regen;Rücken;Stein;Zusammenhang;4;3;1;4;2;2;2;3;0;1;0;1;1;1;1;1;1;1;1;2;2;5;6;7;5,1;1,4;2,8;1;0;0;1;0;0;0;1;0;0;3;3
35;3;2;2;2;2;2;2;2;3;3;3;2;1;1;1;1;1;1;1;1;1;2;3;3;3;3;2;4;2;2;4;Depot;Endlich;Ermaessigt;Gaskammer;0;Holland;Konzert;Krempel;Vergangenheit;Vernetzung;Aktenschrank;Altenheim;Bewegung;Einwohner;Empfindung;Erfahrung;Fortsetzung;Funkloch;Gymnasium;Hintergrund;Kilometer;Kreide;Liebevoll;Monopol;Nageletui;Persönlichkeit;Regenschirm;Rücksicht;Steinzeit;Zusammenhang;4;3;2;4;2;3;1;4;0;2;1;0;1;1;1;1;1;1;1;5;5;6;6;6;4,4;2,3;1,1;0;0;0;1;0;0;0;0;0;0;1;3
37;1;2;1;2;4;2;3;1;3;4;4;1;1;1;1;1;1;1;2;2;1;3;6;7;2;5;2;5;2;2;3;Depo;Endlos;Ermahnung;Gaskammer;Genozid;Holland;Konzentration;Krempel;Vergangenheit;Vernaschen;Akten;Alter;Bewegung;Einwand;Empfänger;Erfahrung;Fortschritt;Funkhaus;Gymnasium;Hintern;Kilogramm;Kreis;Lieblich;Monoton;Nagel;Person;Regenschirm;Rücken;Stein;Zusammen;4;3;2;4;2;2;1;3;0;0;1;1;1;1;1;1;1;1;1;1;6;6;6;6;4,7;2,6;1,2;0;0;0;1;1;0;0;0;0;0;2;1
38;2;2;3;1;2;2;5;3;2;3;4;4;3;4;1;4;4;3;2;5;3;4;4;5;4;6;7;5;2;2;5;Deportation;Endlosigkeit;Ermittlung;Gaskammer;Genosse;Holster;Konzert;Krempel;Vergasung;Vernunft;Aktenzeichen;Alterungsprozess;Bewerbung;Einwanderer;Empfänger;Erfahrung;Fortsetzung;Funkhaus;Gymnasium;Hintergrund;Kilowatt;Kreide;Liebschaft;Monopol;Nagetier;Personifikation;Regeneration;Rückendeckung;Stein;Zusammenarbeit;4;4;1;4;2;2;2;3;0;0;0;1;1;0;1;1;1;1;1;3;4;1;6;6;4,4;2,7;3,3;1;0;0;1;0;0;0;0;1;0;3; 
39;3;3;3;3;3;4;4;3;3;3;3;2;1;1;1;1;1;2;2;2;2;4;5;5;6;4;3;4;2;1;5;nie;ichkeit;ächtigung;ammer;typ;z;entration;el;ngenheit;achlässigung;n;rung;gung;anderer;ang;hrung;setzung;tion;asium;erhof;meter;s;e;graphie;lack;on;nerierung;meldung;n;mmenarbeit;4;3;2;4;2;3;1;4;0;1;1;0;1;1;1;1;1;1;1;3;2;5;6;7;4,5;3,2;1,5;0;0;0;1;0;0;0;0;0;0;1;3
