"ID","di.meta","di.puni","di.puni.0","di.pp","di.trim","di.sel","pval.left","pval.right"
48,1.68278015064191,1.86050134619102,1.86050134619102,-0.54821033836786,1.42640230747176,1.55704048820359,0,8
49,1.28579765852028,1.45167346137546,1.45167346137546,-1.65561213610128,1.1541568871027,1.36260339519814,0,7
50,1.51853824272894,1.56091792954283,1.56091792954283,-0.480810795943217,1.33884184555198,1.32832155072689,0,7
51,1.18257822808932,1.28472924888004,1.28472924888004,-0.73494183881384,1.18257822808932,1.23654929362169,0,6
52,1.54122483777347,1.6439251341135,1.6439251341135,-0.461800862025034,1.16893247764582,1.32740150896962,0,6
53,1.17408836541676,1.30866739891718,1.30866739891718,-1.50918158827693,1.08490733130256,1.25929327252988,0,5
54,-0.256536987510784,-0.63866923093484,-0.63866923093484,-0.170240885754693,-0.256536987510784,-0.216164810008161,3,0
55,-0.892399510710831,-0.858646441356861,-0.858646441356861,0.315265078966364,-0.892399510710831,-0.765445761547956,5,0
56,-0.424423314496747,-0.678819062845722,-0.678819062845722,-0.308330542914708,-0.424423314496747,-0.325998273754673,6,0
57,-0.162407099474023,-0.343711163644924,-0.343711163644924,-0.263069285317337,-0.162407099474023,-0.0628489698776685,2,0
58,-0.111282518433832,-0.358164256770492,-0.358164256770492,-0.231907843584923,-0.308987282209884,-0.0827937046908766,1,0
59,-0.452364507096049,-0.693186404656968,-0.693186404656968,-0.391175676810854,-0.452364507096049,-0.354653012424093,7,0
60,-0.210089141810392,-0.478982244973963,-0.478982244973963,-0.245637339883086,-0.373478537511385,-0.216256020230456,2,0
61,-0.70879918300176,-0.648670288085938,-0.648670288085938,0.353401350910492,-0.70879918300176,-0.619796004848854,4,0
63,0.229094644972613,NA,NA,0.573032291781601,0.229094644972613,0.480073420093853,0,0
64,0.63570260125152,0.756528355533668,0.756528355533668,0.00333930022311016,0.63570260125152,0.640330193915521,0,3
65,0.0281923663968262,NA,NA,-0.309002169701816,-0.0466173791351668,0.0596221435898237,0,0
66,0.147405927234447,NA,NA,0.243649603840193,0.198883970735737,0.2121510553656,0,0
67,-1.27052592158866,-1.29369553188824,-1.29369553188824,-0.529093193847636,-1.1087449359627,-1.20395216934494,7,0
68,-1.19734639822663,-1.20208195362508,-1.20208195362508,-1.00888169897604,-1.11690725449293,-1.16127036536278,10,0
69,-1.13208224099949,-1.10678630307907,-1.10678630307907,-1.09149359377144,-1.13208224099949,-1.10585195234556,8,0
70,-1.28824250554808,-1.2563060471788,-1.2563060471788,-1.18474834769082,-1.27166150525141,-1.23645006906344,7,0
71,-1.26606178047054,-1.22371334415679,-1.22371334415679,-1.21749229453848,-1.26606178047054,-1.22348890263522,6,0
72,-0.860723732973263,-0.679524570408274,-0.679524570408274,-0.797520401084717,-0.860723732973263,-0.736690471427058,6,0
73,-0.802781273952023,-0.679524570408274,-0.679524570408274,-0.924780022697107,-0.802781273952023,-0.776709071091161,6,0
74,-0.81873332268957,-0.691603089658868,-0.691603089658868,-0.895297322166651,-0.869414559670499,-0.798598524527795,5,0
75,-0.729876070691447,-0.556362154642841,-0.556362154642841,-0.120429897033649,-0.59461164874514,-0.387057707135645,7,0
76,-0.65685559518098,-0.556362154642841,-0.556362154642841,-0.555313236109254,-0.65685559518098,-0.552923569698595,7,0
78,0.724268683311814,1.88423518239685,1.88423518239685,-0.3195662192548,0.724268683311814,1.26210487077037,0,2
79,-0.105571264807779,NA,NA,-0.10183049554607,-0.105571264807779,-0.159456135451899,0,0
80,0.0417167497203523,NA,NA,0.0611007582596761,0.0561153892531301,0.0658157938464663,0,0
81,0.425779816513762,0.910992992623849,0.910992992623849,-0.181986520328315,0.425779816513762,0.658105473655107,0,2
82,0.405093375687143,0.677471389977954,0.677471389977954,1.47426613633099,0.405093375687143,0.27605772601984,0,2
83,0.132161213678167,NA,NA,0.703552307845742,0.282378193884517,0.216979081442288,0,0
84,0.531670538147069,0.634586696799387,0.634586696799387,-0.095444008420823,0.431232893728943,0.737348424639372,0,4
85,0.659755297260681,0.713004159528988,0.713004159528988,0.0325009168289175,0.608153397778744,0.494777086906579,0,10
86,0.280908749378856,0.260234151226473,0.260234151226473,-0.245645696256534,0.131638054248101,0.0871937169027587,0,5
87,0.568443109720758,0.209156934255273,0.209156934255273,-0.923998946855563,0.466997409850002,0.535682129713113,0,3
88,0.145632115951261,0.384138020483902,0.384138020483902,-0.183472594576347,0.104244420580227,0.0608232927568824,0,2
89,0.923992345923938,0.906309873413209,0.906309873413209,3.0751306020497,0.923992345923938,0.745527509690219,0,4
90,1.01589706400465,1.05941792275318,1.05941792275318,1.00465394124135,1.01589706400465,0.893129791495327,0,5
91,1.09885040399011,1.20046696709278,1.20046696709278,0.919590466357487,1.04770863110137,1.06534803610431,0,6
92,1.02930999975571,1.08321390541715,1.08321390541715,0.908940064147115,1.02930999975571,1.01693178755427,0,6
93,-0.383973989570595,-0.569576070055105,-0.569576070055105,0.324253330704606,-0.35579863788157,-0.433855267648142,3,0
94,0.0811702639326335,NA,NA,0.103031699036904,0.108308689557973,0.117040263302665,0,0
97,-0.820576207342065,-0.970161305313281,-0.970161305313281,-0.203259248768472,-0.570564518838797,-0.836865577960373,10,0
98,-0.270323897097473,-1.24652105995782,-1.24652105995782,0.30673771220351,-0.270323897097473,-0.206265153175644,1,0
103,-0.0735961215964553,-0.455177734375,-0.455177734375,0.231993361533044,-0.0735961215964553,0.0606572025002311,1,0
105,-0.687086743844547,-0.864485084533692,-0.864485084533692,0.076298617044297,-0.687086743844547,-0.558708223505915,6,0
106,1.8500061045572,1.88996411110792,1.88996411110792,0.362860602886227,1.78907465118795,1.82812178830634,0,7
